,Alcohol,Alcohol (prev day),Breathing exercises,Breathing exercises (prev day),Coffee,Coffee (prev day),Emotional Rating,Emotional Rating (prev day),Energy Rating (1-5),Energy Rating (1-5) (prev day),Exercise,Exercise (prev day),Journal,Journal (prev day),MD,MD (prev day),Meditation,Meditation (prev day),Moda,Moda (prev day),Morning sun,Morning sun (prev day),Morning walk,Morning walk (prev day),Nap,Nap (prev day),Satisfaction/Fullfilment,Satisfaction/Fullfilment (prev day),Summary,Summary (prev day),Weighted blanket,Weighted blanket (prev day),nap_duration,recovery.heartRateVariabilityRmssd,recovery.restingHeartRate,recovery.score,sleep.qualityDuration,sleep.score,strain.averageHeartRate,strain.score
Alcohol,1.0,0.44360832404310646,,,0.11771472838098833,-0.015012892894966852,0.237545373805112,0.06931032126939608,0.1833627199791838,0.14475022452069847,,,-0.11789775715353025,-0.07371693890378468,0.013401346539392553,0.013404340696169316,0.07629306952002952,-0.030883467462126314,0.020716364165003023,0.09146461584488176,0.056852419071309786,-0.1264190383105375,-0.18444302765479012,-0.10645337306029226,0.17512146423278005,0.20177515186182848,-0.07346805982082985,-0.026976553215460962,,,0.09591622948970505,0.047962709534299694,0.02006096544010706,0.03558179085081145,0.10962154952631188,-0.04126087608891923,-0.12281602942405205,-0.026244156972508433,-0.1208440396574926,-0.05367734859065384
Alcohol (prev day),0.44360832404310646,1.0,,,-0.02354294567619787,0.11771472838098833,0.035600301379280726,0.237545373805112,0.0005596013834563301,0.1833627199791838,,,-0.08846032668454164,-0.11794710224605538,0.08425585580449292,0.013404340696169307,0.0999134696842674,0.07629306952002954,-0.03853927449931127,0.02071636416500304,-0.045510853791793614,0.05688856723974136,-0.12543216070782195,-0.18489270057840232,0.31282969280903666,0.17518462797306036,0.0970007977321894,-0.07346805982082985,,,0.22006419668678662,0.09592541906859936,0.07622880839298042,-0.013645063545628174,0.10852914135280001,-0.0782606300646764,-0.07531239830945294,-0.020607149926752465,-0.10529400972210426,-0.09459740071159899
Breathing exercises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breathing exercises (prev day),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee,0.11771472838098833,-0.02354294567619787,,,1.0,-0.23308270676691734,-0.07983801317538257,0.006942435928294154,-0.12331486412890602,0.08015466168378879,,,0.016237613878264945,0.01624440999193626,-0.06328172452642938,2.9824710291345505e-17,0.05327456088404088,-0.25889169587053096,0.17238834819379498,0.0213553207167946,-0.02784024700613067,-0.08357384556281028,-0.06158216546791858,0.04115486870789588,0.10336636905915421,-0.15510547768562266,-0.14545313658223172,0.037944296499712635,,,1.9221205350200146e-17,1.9194413435081396e-17,4.038182712855124e-17,0.012477112608117734,0.07562581821795156,0.019083710825044453,0.08295983339606565,0.07537139780998861,0.07092355511313703,0.04793283161616143
Coffee (prev day),-0.015012892894966852,0.11771472838098833,,,-0.23308270676691734,1.0,0.104136538924412,-0.07983801317538257,0.03288396376770815,-0.12331486412890602,,,-0.03248881998387264,0.01624440999193626,0.08439448408163149,-0.06329586306122358,0.6408816324220584,0.05327456088404096,-0.05906500918590702,0.172388348193795,-0.06964487130234194,-0.027857948520936777,0.08250889022908807,-0.06173230306184355,0.2068073035808299,0.10340365179041489,0.037944296499712635,-0.14545313658223172,,,-0.09325726970171583,1.9111678894412942e-17,4.261911325648438e-17,-0.16453657869231483,-0.06911416605886002,-0.1694869338327439,-0.053883841281204076,-0.07172550836862387,0.060304295423781504,0.04888756594577737
Emotional Rating,0.237545373805112,0.035600301379280726,,,-0.07983801317538257,0.104136538924412,1.0,-0.038461538461538464,0.4744251552017628,-0.04744251552017624,,,0.0749645149955257,-0.16499095964714558,-2.162373957235194e-18,4.325714158663676e-18,0.1676671776299336,-0.2231375922016345,-0.13264478605162025,0.154752250393557,0.0642653110800916,0.06430617254785632,0.12319996360863143,-0.019000050102937923,-0.17497830981833892,0.11138999577040642,0.18685673434682068,-0.18101746139848254,,,0.17220057859491616,-0.057405692284660303,-0.17852557845163225,-0.03556426580082558,-0.11030901712464107,-0.02917226213420439,-0.1275994077536559,-0.14575289851128978,0.03492631335728653,0.09401465366439091
Emotional Rating (prev day),0.06931032126939608,0.237545373805112,,,0.006942435928294154,-0.07983801317538257,-0.038461538461538464,1.0,-0.2770642906378294,0.4744251552017628,,,0.1949893159466267,0.07499589074870258,4.325714158663676e-18,4.325714158663676e-18,0.09231114274007583,0.16766717762993366,-0.080960380862751,-0.13264478605162028,-0.025722469019142533,0.06430617254785632,-0.019046021740675753,0.12350032566909647,0.09547713923177693,-0.1750414219249244,-0.26860655562355473,0.18685673434682068,,,0.172217076853981,0.17221707685398102,0.11446376564026056,0.06166204041645561,-0.0344404613958135,0.060130018915232654,-0.29551278684394283,-0.2964878529003808,0.09368651514017497,0.0530343919008251
Energy Rating (1-5),0.1833627199791838,0.0005596013834563301,,,-0.12331486412890602,0.03288396376770815,0.4744251552017628,-0.2770642906378294,1.0,-0.09438202247191008,,,0.03550814757871897,-0.15097278913644357,-1.3215382611359614e-17,-8.965774798567895e-18,0.2848051615528688,-0.13112439552782204,-0.11780500344770581,0.14404819212997452,0.0989309673786486,0.022844739259516342,0.016833358614492425,-0.044998395780886526,-0.2448765363130259,0.11306070446924729,0.4494531434284337,-0.07260396932305468,,,-0.1359426202796087,-0.30590020062517553,-0.272115548695106,0.041639897645073844,-0.0683080145156841,0.09888152684510157,0.0933670171202497,0.11065808119687309,0.06772458370720984,0.05765756471562771
Energy Rating (1-5) (prev day),0.14475022452069847,0.1833627199791838,,,0.08015466168378879,-0.12331486412890602,-0.04744251552017624,0.4744251552017628,-0.09438202247191008,1.0,,,-0.053284513812862366,0.03552300920857491,-9.49204467362903e-18,-9.49204467362903e-18,0.020573392871094987,0.28480516155286884,-0.08325738026476699,-0.11780500344770581,0.09137895703806524,0.0989938701245707,0.0676609077103782,0.01687439841783245,-0.07537380297949818,-0.24496485968336876,0.003457331872526386,0.4494531434284337,,,-0.13595564472229998,-0.13595564472229998,-0.06950330000262007,0.09549294464459918,-0.06957133336754012,0.15029352141777205,-0.12033233290902129,-0.09660184979723924,-0.05913327831348982,-0.08615867718325515
